gap_start,gap_end,missing_bars
2018-01-04 04:00:00,2018-01-04 04:00:00,1
2018-02-08 01:00:00,2018-02-09 09:00:00,33
2018-06-26 02:00:00,2018-06-26 11:00:00,10
2018-06-27 13:00:00,2018-06-27 13:00:00,1
2018-07-04 01:00:00,2018-07-04 07:00:00,7
2018-10-19 06:00:00,2018-10-19 08:00:00,3
2018-11-14 02:00:00,2018-11-14 08:00:00,7
2019-03-12 02:00:00,2019-03-12 07:00:00,6
2019-05-15 03:00:00,2019-05-15 12:00:00,10
2019-08-15 02:00:00,2019-08-15 09:00:00,8
2019-11-13 02:00:00,2019-11-13 03:00:00,2
2019-11-25 02:00:00,2019-11-25 03:00:00,2
2020-02-09 02:00:00,2020-02-09 02:00:00,1
2020-02-19 12:00:00,2020-02-19 16:00:00,5
2020-03-04 10:00:00,2020-03-04 10:00:00,1
2020-04-25 02:00:00,2020-04-25 03:00:00,2
2020-06-28 02:00:00,2020-06-28 04:00:00,3
2020-11-30 06:00:00,2020-11-30 06:00:00,1
2020-12-21 14:00:00,2020-12-21 17:00:00,4
2020-12-25 02:00:00,2020-12-25 02:00:00,1
2021-02-11 04:00:00,2021-02-11 04:00:00,1
2021-03-06 02:00:00,2021-03-06 02:00:00,1
2021-04-20 02:00:00,2021-04-20 03:00:00,2
2021-04-25 05:00:00,2021-04-25 07:00:00,3
2021-08-13 02:00:00,2021-08-13 05:00:00,4
2021-09-29 07:00:00,2021-09-29 08:00:00,2
2023-03-24 13:00:00,2023-03-24 13:00:00,1
